WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Februari
Surabaya Utara;Kenjeran;Puskesmas Sidotopo Wetan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;61
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit Infeksi dan parasit;506
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Neoplasma;190
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;81
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Endokrin, nutrisi dan gangguan metabolik;101
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Gangguan jiwa dan perilaku;36
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit yang mengenai sistem syaraf;0
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit mata dan adnexa;104
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit telinga dan mastoid;40
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit pada sistem sirkulasi;453
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit pada sistem pernafasan;123
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit pada sistem pencernaan;11
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit pada kulit dan jaringan subcutaneous;3
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit pada sistem musculoskletal;36
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyakit pada sistem saluran kemih dan genital;25
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Kehamilan dan kelahiran;59
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Keadaan yang berasal dari periode perinatal;51
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Malformasi kongenital, deformasi dan kelainan chromosom;69
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;51
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Keracunan, cedera dan beberapa penyebab yang dari luar;619
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Penyebab morbiditas dan kematian eksternal;535
Surabaya Pusat;Simokerto;Puskesmas Simolawang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;154
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit Infeksi dan parasit;165
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Neoplasma;38
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Endokrin, nutrisi dan gangguan metabolik;63
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Gangguan jiwa dan perilaku;77
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit yang mengenai sistem syaraf;551
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit mata dan adnexa;82
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit telinga dan mastoid;5
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit pada sistem sirkulasi;0
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit pada sistem pernafasan;29
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit pada sistem pencernaan;8
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit pada kulit dan jaringan subcutaneous;16
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit pada sistem musculoskletal;70
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyakit pada sistem saluran kemih dan genital;28
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Kehamilan dan kelahiran;27
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Keadaan yang berasal dari periode perinatal;220
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Malformasi kongenital, deformasi dan kelainan chromosom;271
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;58
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Keracunan, cedera dan beberapa penyebab yang dari luar;122
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Penyebab morbiditas dan kematian eksternal;23
Surabaya Barat;Sukomanunggal;Puskesmas Simomulyo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit Infeksi dan parasit;100
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Neoplasma;20
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;167
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Endokrin, nutrisi dan gangguan metabolik;340
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Gangguan jiwa dan perilaku;21
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit yang mengenai sistem syaraf;10
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit mata dan adnexa;57
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit telinga dan mastoid;17
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit pada sistem sirkulasi;49
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit pada sistem pernafasan;0
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit pada sistem pencernaan;66
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit pada kulit dan jaringan subcutaneous;76
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit pada sistem musculoskletal;816
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyakit pada sistem saluran kemih dan genital;629
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Kehamilan dan kelahiran;131
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Keadaan yang berasal dari periode perinatal;258
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Malformasi kongenital, deformasi dan kelainan chromosom;64
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;2
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Keracunan, cedera dan beberapa penyebab yang dari luar;109
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Penyebab morbiditas dan kematian eksternal;40
Surabaya Selatan;Wonocolo;Puskesmas Siwalankerto;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;349
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit Infeksi dan parasit;67
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Neoplasma;3
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Endokrin, nutrisi dan gangguan metabolik;48
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Gangguan jiwa dan perilaku;1
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit yang mengenai sistem syaraf;5
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit mata dan adnexa;62
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit telinga dan mastoid;20
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit pada sistem sirkulasi;59
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit pada sistem pernafasan;197
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit pada sistem pencernaan;366
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit pada kulit dan jaringan subcutaneous;44
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit pada sistem musculoskletal;126
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyakit pada sistem saluran kemih dan genital;19
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Kehamilan dan kelahiran;1
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Keadaan yang berasal dari periode perinatal;1
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;35
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Keracunan, cedera dan beberapa penyebab yang dari luar;10
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Penyebab morbiditas dan kematian eksternal;2
Surabaya Utara;Kenjeran;Puskesmas Tambak Wedi;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;364
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit Infeksi dan parasit;122
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Neoplasma;10
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Endokrin, nutrisi dan gangguan metabolik;78
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Gangguan jiwa dan perilaku;19
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit yang mengenai sistem syaraf;30
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit mata dan adnexa;90
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit telinga dan mastoid;29
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit pada sistem sirkulasi;82
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit pada sistem pernafasan;384
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit pada sistem pencernaan;347
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit pada kulit dan jaringan subcutaneous;104
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit pada sistem musculoskletal;182
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyakit pada sistem saluran kemih dan genital;37
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Kehamilan dan kelahiran;3
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Keadaan yang berasal dari periode perinatal;8
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;158
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Keracunan, cedera dan beberapa penyebab yang dari luar;40
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Pusat;Simokerto;Puskesmas Tambakrejo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;415
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit Infeksi dan parasit;194
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Neoplasma;17
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;25
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Endokrin, nutrisi dan gangguan metabolik;184
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Gangguan jiwa dan perilaku;38
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit yang mengenai sistem syaraf;35
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit mata dan adnexa;33
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit telinga dan mastoid;44
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit pada sistem sirkulasi;183
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit pada sistem pernafasan;558
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit pada sistem pencernaan;591
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit pada kulit dan jaringan subcutaneous;106
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit pada sistem musculoskletal;252
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyakit pada sistem saluran kemih dan genital;43
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Kehamilan dan kelahiran;7
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Keadaan yang berasal dari periode perinatal;6
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;147
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Keracunan, cedera dan beberapa penyebab yang dari luar;47
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Penyebab morbiditas dan kematian eksternal;2
Surabaya Utara;Kenjeran;Puskesmas Tanah Kali Kedinding;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;749
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit Infeksi dan parasit;131
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Neoplasma;5
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Endokrin, nutrisi dan gangguan metabolik;51
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Gangguan jiwa dan perilaku;5
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit yang mengenai sistem syaraf;25
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit mata dan adnexa;65
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit telinga dan mastoid;22
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit pada sistem sirkulasi;75
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit pada sistem pernafasan;232
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit pada sistem pencernaan;429
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit pada kulit dan jaringan subcutaneous;60
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit pada sistem musculoskletal;82
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyakit pada sistem saluran kemih dan genital;20
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Kehamilan dan kelahiran;12
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Keadaan yang berasal dari periode perinatal;0
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;109
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Keracunan, cedera dan beberapa penyebab yang dari luar;34
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Sukomanunggal;Puskesmas Tanjungsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;507
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit Infeksi dan parasit;132
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Neoplasma;15
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Endokrin, nutrisi dan gangguan metabolik;103
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Gangguan jiwa dan perilaku;3
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit yang mengenai sistem syaraf;27
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit mata dan adnexa;63
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit telinga dan mastoid;49
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit pada sistem sirkulasi;132
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit pada sistem pernafasan;425
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit pada sistem pencernaan;417
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit pada kulit dan jaringan subcutaneous;95
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit pada sistem musculoskletal;203
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyakit pada sistem saluran kemih dan genital;43
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Kehamilan dan kelahiran;14
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Keadaan yang berasal dari periode perinatal;2
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;105
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Keracunan, cedera dan beberapa penyebab yang dari luar;68
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Penyebab morbiditas dan kematian eksternal;0
Surabaya Pusat;Bubutan;Puskesmas Tembok Dukuh;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;805
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit Infeksi dan parasit;134
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Neoplasma;16
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Endokrin, nutrisi dan gangguan metabolik;51
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Gangguan jiwa dan perilaku;16
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit yang mengenai sistem syaraf;33
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit mata dan adnexa;29
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit telinga dan mastoid;39
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit pada sistem sirkulasi;36
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit pada sistem pernafasan;466
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit pada sistem pencernaan;186
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit pada kulit dan jaringan subcutaneous;99
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit pada sistem musculoskletal;92
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyakit pada sistem saluran kemih dan genital;26
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Kehamilan dan kelahiran;75
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Keadaan yang berasal dari periode perinatal;5
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Malformasi kongenital, deformasi dan kelainan chromosom;6
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;65
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Keracunan, cedera dan beberapa penyebab yang dari luar;30
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Penyebab morbiditas dan kematian eksternal;0
Surabaya Timur;Tenggilis Mejoyo;Puskesmas Tenggilis;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;489
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit Infeksi dan parasit;141
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Neoplasma;9
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Endokrin, nutrisi dan gangguan metabolik;43
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Gangguan jiwa dan perilaku;25
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit yang mengenai sistem syaraf;73
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit mata dan adnexa;44
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit telinga dan mastoid;65
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit pada sistem sirkulasi;45
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit pada sistem pernafasan;539
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit pada sistem pencernaan;520
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit pada kulit dan jaringan subcutaneous;120
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit pada sistem musculoskletal;139
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyakit pada sistem saluran kemih dan genital;50
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Kehamilan dan kelahiran;19
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Keadaan yang berasal dari periode perinatal;4
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;84
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Keracunan, cedera dan beberapa penyebab yang dari luar;52
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Wiyung;Puskesmas Wiyung;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;665
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit Infeksi dan parasit;78
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Neoplasma;3
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Endokrin, nutrisi dan gangguan metabolik;26
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Gangguan jiwa dan perilaku;14
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit yang mengenai sistem syaraf;20
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit mata dan adnexa;84
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit telinga dan mastoid;25
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit pada sistem sirkulasi;36
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit pada sistem pernafasan;151
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit pada sistem pencernaan;294
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit pada kulit dan jaringan subcutaneous;68
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit pada sistem musculoskletal;101
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyakit pada sistem saluran kemih dan genital;15
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Kehamilan dan kelahiran;17
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;112
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Keracunan, cedera dan beberapa penyebab yang dari luar;23
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Wonokromo;Puskesmas Wonokromo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;149
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit Infeksi dan parasit;352
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Neoplasma;23
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;9
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Endokrin, nutrisi dan gangguan metabolik;62
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Gangguan jiwa dan perilaku;11
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit yang mengenai sistem syaraf;39
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit mata dan adnexa;0
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit telinga dan mastoid;96
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit pada sistem sirkulasi;87
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit pada sistem pernafasan;843
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit pada sistem pencernaan;555
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit pada kulit dan jaringan subcutaneous;149
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit pada sistem musculoskletal;248
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyakit pada sistem saluran kemih dan genital;55
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Kehamilan dan kelahiran;23
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Keadaan yang berasal dari periode perinatal;2
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;132
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Keracunan, cedera dan beberapa penyebab yang dari luar;45
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Utara;Semampir;Puskesmas Wonokusumo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;358
